accx,accy,accz
-0.232,0.024,-0.047
-0.199,0.036,-0.055
-0.235,0.041,-0.088
-0.247,0.056,-0.012
-0.247,0.056,-0.012
-0.25,0.032,0.008
-0.243,0.001,-0.003
-0.248,0.011,-0.001
-0.272,-0.037,0.072
-0.272,-0.037,0.072
-0.273,0.001,0.065
-0.273,0.001,0.065
-0.268,0.004,0.115
-0.259,-0.033,0.044
-0.259,-0.033,0.044
-0.257,-0.028,0.015
-0.269,-0.016,0.036
-0.29,0.004,0.01
-0.285,0.028,-0.06
-0.285,0.028,-0.06
-0.282,0.013,0.004
-0.292,0.003,-0.019
-0.292,0.003,-0.019
-0.251,-0.007,-0.129
-0.251,-0.007,-0.129
-0.282,0.04,-0.217
-0.277,0.083,-0.207
-0.237,0.058,-0.231
-0.256,0.055,-0.262
-0.256,0.055,-0.262
-0.33,0.017,-0.271
-0.311,0.036,-0.262
-0.289,-0.023,-0.166
-0.294,-0.013,-0.092
-0.294,-0.013,-0.092
-0.297,-0.014,-0.022
-0.281,-0.033,-0.025
-0.245,0.009,0.02
-0.266,0.019,0.123
-0.251,-0.006,0.163
-0.251,-0.006,0.163
-0.241,-0.049,0.228
-0.241,-0.049,0.228
-0.24,-0.03,0.081
-0.24,-0.03,0.081
-0.238,0.023,0.045
-0.223,0.025,0.016
-0.245,0.078,-0.009
-0.211,0.047,-0.014
-0.211,0.047,-0.014
-0.215,0,0.009
-0.2,-0.041,-0.014
-0.2,-0.041,-0.014
-0.184,-0.072,-0.032
-0.184,-0.072,-0.032
-0.222,-0.062,0.082
-0.208,-0.064,0.029
-0.208,-0.064,0.029
-0.268,-0.095,0.029
-0.268,-0.095,0.029
-0.277,-0.046,0.048
-0.258,-0.075,-0.006
-0.253,-0.039,0.029
-0.38,-0.042,0.096
-0.38,-0.042,0.096
-0.323,-0.08,-0.03
-0.354,-0.046,-0.002
-0.334,0.025,-0.006
-0.342,0.003,-0.04
-0.296,-0.049,-0.028
-0.323,0.036,-0.107
-0.313,-0.018,-0.133
-0.327,0.008,-0.118
-0.311,-0.003,-0.161
-0.306,0.01,-0.226
-0.302,0.018,-0.24
-0.304,0.013,-0.185
-0.311,-0.027,-0.187
-0.28,-0.048,-0.216
-0.073,-0.066,-0.22
-0.037,-0.151,-0.132
-0.063,-0.158,-0.095
-0.012,-0.171,-0.054
-0.026,-0.185,-0.053
-0.017,-0.163,-0.005
-0.023,-0.145,-0.018
-0.022,-0.181,0.006
-0.028,-0.228,0.02
-0.06,0.029,0.027
-0.067,0.017,0.018
0.003,0.04,0.032
0.006,0.054,0.03
