accx,accy,accz
0.03,-0.702,-5.167
0.158,-0.809,-5.47
0.279,-0.959,-5.797
0.143,-1.106,-6.09
-0.019,-1.108,-6.433
-0.201,-1.133,-6.77
-0.355,-1.203,-6.997
-0.402,-1.296,-7.216
-0.411,-1.341,-7.387
-0.385,-1.403,-7.427
-0.309,-1.477,-7.48
-0.277,-1.444,-7.452
-0.181,-1.378,-7.379
-0.158,-1.33,-7.302
-0.178,-1.276,-7.226
-0.279,-1.175,-6.933
-0.413,-1.025,-6.517
-0.556,-0.804,-6.183
-0.694,-0.542,-5.695
-0.785,-0.276,-5.235
-0.904,0.038,-4.642
-0.971,0.316,-3.886
-0.985,0.546,-3.112
-0.836,0.747,-2.205
-0.572,1.023,-1.268
-0.237,1.316,-0.141
0.191,1.542,0.809
0.589,1.71,1.787
1.041,1.736,2.454
1.42,1.886,3.111
1.657,1.972,3.613
1.944,1.935,3.906
2.144,1.881,4.303
2.392,1.732,4.589
2.479,1.514,4.897
2.336,1.457,5.274
2.082,1.458,5.393
1.677,1.486,5.406
1.339,1.509,5.148
1.157,1.551,4.647
1.124,1.502,4.138
1.265,1.485,3.629
1.467,1.365,3.275
1.802,1.173,3.129
2.156,0.909,3.088
2.501,0.589,3.235
2.77,0.224,3.552
3.136,-0.367,3.764
3.39,-0.82,3.773
3.192,-1.099,3.459
2.628,-1.132,2.731
1.745,-0.91,1.768
1.036,-0.777,0.784
0.553,-0.752,-0.354
0.192,-0.565,-1.406
-0.087,-0.366,-2.283
-0.065,-0.382,-3.098
0.125,-0.51,-3.624
0.369,-0.693,-4.091
0.607,-0.906,-4.432
0.665,-1.092,-4.674
0.525,-1.232,-4.921
0.202,-1.471,-5.153
0.202,-1.471,-5.153
-0.239,-1.764,-5.565
-0.352,-1.826,-5.69
-0.47,-1.943,-6.096
-0.491,-1.931,-6.211
-0.491,-1.931,-6.211
-0.875,-2.063,-6.53
-0.875,-2.063,-6.53
-0.945,-2.019,-6.417
-1.128,-1.898,-6.017
-1.128,-1.898,-6.017
-1.256,-1.816,-5.793
-1.256,-1.816,-5.793
-1.576,-1.404,-5.432
-1.804,-0.813,-5.102
-1.804,-0.813,-5.102
-1.86,-0.16,-4.633
-1.86,-0.16,-4.633
-1.941,0.2,-4.249
-2.203,0.989,-3.417
-2.203,0.989,-3.417
-1.851,1.654,-2.479
-1.851,1.654,-2.479
-1.519,1.939,-1.974
-0.6,2.268,-0.756
-0.6,2.268,-0.756
0.6,2.336,0.531
0.6,2.336,0.531
1.264,2.14,1.192
2.151,1.604,2.563
2.151,1.604,2.563
1.801,1.225,3.618
1.801,1.225,3.618
1.315,1.297,3.928
0.431,1.571,4.281
0.431,1.571,4.281
0.317,1.478,4.159
0.317,1.478,4.159
0.385,1.538,3.991
0.91,1.393,3.641
0.91,1.393,3.641
0.949,1.447,3.392
0.949,1.447,3.392
0.73,1.088,3.48
0.558,0.652,3.415
0.262,0.226,3.314
-0.042,-0.091,3.308
-0.319,-0.462,3.337
-0.362,-1.021,3.634
-0.362,-1.021,3.634
-0.207,-1.806,4.105
0.125,-2.966,4.983
0.119,-3.41,5.054
-0.125,-3.647,4.857
-0.489,-3.665,4.289
-0.865,-3.639,3.453
-1.013,-3.704,2.468
-1.045,-3.776,1.361
-0.897,-3.804,0.424
-0.677,-3.88,-0.397
-0.42,-3.981,-1.056
-0.251,-4.048,-1.549
-0.243,-4.067,-1.904
-0.038,-3.785,-2.266
-0.291,-3.94,-2.689
-0.726,-3.754,-3.355
-0.965,-3.49,-3.764
-1.063,-3.382,-4.309
-1.107,-3.185,-4.843
-1.067,-2.911,-5.279
-1.015,-2.579,-5.581
-1.003,-2.166,-5.804
-0.979,-1.762,-5.891
-0.797,-1.533,-6.091
-0.596,-1.528,-6.376
-0.497,-1.387,-6.478
-0.548,-0.998,-6.513
-0.54,-0.907,-6.546
-0.54,-0.907,-6.546
-0.71,-0.518,-6.34
-0.869,-0.047,-6.077
-0.89,0.32,-5.793
-0.835,0.519,-5.507
-0.821,0.703,-5.193
-0.915,0.857,-4.72
-1.009,0.971,-4.278
-1.219,1.117,-3.854
-1.362,1.219,-3.399
-1.486,1.285,-2.954
-1.567,1.362,-2.61
-1.712,1.369,-2.16
-1.942,1.433,-1.78
-2.2,1.669,-1.451
-2.388,1.898,-0.954
-2.377,2.014,-0.554
-2.171,2.007,-0.161
-1.976,2.034,-0.001
-1.905,2.13,0.208
-1.783,2.135,0.326
-1.699,1.992,0.477
-1.669,1.813,0.553
-1.74,1.674,0.708
-1.808,1.629,0.701
-1.792,1.544,0.475
-1.797,1.75,0.775
-1.773,1.777,1.124
-1.621,1.288,1.322
-1.442,0.937,1.297
-1.694,0.909,1.108
-1.998,0.864,1.047
-2.283,0.8,0.989
-2.548,0.891,0.974
-2.812,0.925,0.99
-2.896,0.919,1.019
-2.825,0.866,0.999
-2.603,0.784,0.949
-2.235,0.58,0.832
-1.817,0.396,0.728
-1.279,0.158,0.625
-0.69,-0.044,0.518
-0.125,-0.19,0.405
0.277,-0.283,0.334
0.627,-0.372,0.118
0.64,-0.293,0.108
0.45,-0.192,0.26
0.377,0.03,0.191
0.27,0.292,0.319
0.226,0.378,0.642
0.394,0.395,1.154
0.627,0.485,1.775
1.357,0.561,2.441
2.465,0.183,3.134
3.38,-0.401,4.135
4.298,-0.978,4.829
5.03,-1.513,5.048
5.238,-1.863,5.408
4.716,-1.996,5.747
3.591,-1.769,6.038
2.646,-1.526,6.442
2.312,-1.541,6.42
2.34,-1.644,5.85
2.518,-1.485,5.231
2.751,-1.336,4.296
2.971,-1.367,2.997
3.09,-1.405,1.466
3.127,-1.376,-0.036
3.115,-1.393,-1.511
2.992,-1.499,-2.836
2.64,-1.61,-3.808
2.185,-1.697,-4.551
1.508,-1.751,-5.087
0.775,-1.759,-5.417
0.089,-1.74,-5.558
-0.538,-1.684,-5.57
-0.947,-1.717,-5.624
-1.218,-1.742,-5.584
-1.426,-1.69,-5.521
-1.758,-1.522,-5.458
-1.998,-1.388,-5.592
-2.135,-1.36,-5.793
-2.284,-1.284,-6.028
-2.404,-1.127,-6.245
-2.461,-0.99,-6.42
-2.463,-0.903,-6.558
-2.335,-0.815,-6.565
-2.335,-0.748,-6.06
-2.339,-0.698,-5.117
-2.099,-0.945,-3.894
-1.482,-1.034,-0.521
-1.482,-1.034,-0.521
-1.32,-0.905,0.495
-1.387,-0.563,1.186
-1.387,-0.563,1.186
-0.993,-0.949,2.49
-1.074,-0.903,2.707
-1.379,-0.731,2.224
-1.514,-0.586,2.015
-1.644,-0.355,1.764
-1.669,-0.148,1.284
-1.397,0.01,0.746
-1.06,0.276,0.277
-0.756,0.55,-0.003
-0.463,0.803,-0.334
-0.265,1.081,-0.612
0,1.176,-0.943
0,1.176,-0.943
0.105,1.543,-1.337
0.078,1.87,-1.109
0.078,1.87,-1.109
0.034,1.936,-0.611
0.034,1.936,-0.611
0.259,1.943,-0.334
0.422,1.898,-0.194
0.422,1.898,-0.194
1.004,1.935,-0.923
1.188,1.943,-1.582
1.188,1.943,-1.582
1.159,1.759,-1.863
1.159,1.759,-1.863
0.93,1.587,-1.909
0.613,1.337,-1.28
0.258,0.429,-1.2
