accx,accy,accz
2.538,-1.516,5.716
2.493,-1.805,5.588
2.266,-2.028,5.186
1.86,-2.077,4.461
1.211,-1.806,3.502
0.754,-1.503,2.572
0.664,-1.314,1.648
0.523,-1.025,0.666
0.463,-0.691,-0.184
0.503,-0.337,-1.017
0.679,-0.06,-1.781
0.918,0.142,-2.429
1.176,0.268,-2.884
1.415,0.264,-3.041
1.512,0.226,-2.994
1.421,0.061,-2.889
1.173,-0.1,-2.695
0.703,-0.267,-2.565
0.271,-0.517,-2.515
-0.235,-0.631,-2.659
-0.782,-0.582,-2.991
-1.074,-0.523,-3.413
-1.281,-0.43,-3.853
-1.415,-0.32,-4.361
-1.656,-0.047,-4.927
-1.812,0.165,-5.356
-1.903,0.276,-5.661
-2.044,0.406,-5.8
-2.193,0.517,-5.76
-2.303,0.607,-5.609
-2.34,0.548,-5.402
-2.344,0.546,-5.176
-2.362,0.572,-4.81
-2.34,0.615,-4.443
-2.279,0.682,-3.97
-2.206,0.644,-3.481
-2.048,0.607,-3.044
-1.907,0.535,-2.553
-1.815,0.546,-1.987
-1.721,0.458,-1.495
-1.559,0.363,-0.958
-1.516,0.276,-0.389
-1.497,0.186,0.116
-1.581,0.219,0.557
-1.612,0.245,1.146
-1.682,0.294,1.819
-1.625,0.459,2.275
-1.508,0.541,2.594
-1.28,0.612,2.778
-1.062,0.736,2.905
-0.859,0.818,2.797
-0.601,0.792,2.688
-0.38,0.747,2.514
-0.328,0.719,2.218
-0.512,0.861,1.95
-0.825,1.052,1.91
-1.005,1.017,2.056
-0.886,0.674,2.177
-0.669,0.369,2.356
-0.593,0.246,2.503
-0.544,0.1,2.696
-0.42,-0.192,3.013
-0.26,-0.63,3.138
-0.094,-1.074,3.133
-0.056,-1.568,3.168
-0.171,-1.808,2.922
-0.531,-1.879,2.316
-1.042,-1.742,1.668
-1.364,-1.662,0.923
-1.51,-1.556,0.255
-1.642,-1.298,-0.48
-1.784,-0.968,-0.962
-1.746,-0.752,-1.463
-1.746,-0.752,-1.463
-1.295,-0.621,-1.918
-1.119,-0.648,-1.887
-0.466,-0.849,-1.61
-0.263,-0.908,-1.513
-0.263,-0.908,-1.513
0.148,-1.193,-1.021
0.137,-1.21,-0.971
0.037,-1.218,-1.097
-0.092,-1.148,-1.321
-0.121,-1.123,-1.667
-0.1,-1.006,-2.114
-0.044,-0.97,-2.578
0.047,-0.833,-2.976
0.103,-0.598,-3.484
0.112,-0.4,-3.856
0.161,-0.272,-4.158
0.186,-0.147,-4.267
0.211,-0.044,-4.355
0.263,0.109,-4.35
0.286,0.232,-4.224
0.275,0.396,-4.012
0.299,0.502,-3.714
0.312,0.531,-3.503
0.323,0.611,-3.259
0.388,0.718,-3.042
0.442,0.769,-2.847
0.558,0.789,-2.692
0.625,0.81,-2.429
0.625,0.81,-2.429
0.681,0.866,-1.974
0.762,0.727,-1.109
0.74,0.63,-0.681
0.668,0.636,-0.392
0.503,0.696,-0.161
0.394,0.716,0.067
0.392,0.719,0.298
0.397,0.689,0.446
0.449,0.698,0.66
0.465,0.668,0.933
0.659,0.545,1.246
0.936,0.294,1.611
1.103,0.091,1.899
1.122,-0.084,2.187
0.949,-0.172,2.258
0.295,0.175,2.288
-0.188,0.467,2.456
-0.036,0.351,2.732
0.375,0.03,2.714
0.901,-0.128,2.876
1.264,-0.058,3.073
1.649,-0.082,3.328
2.375,-0.592,3.68
