accx,accy,accz
-0.136,-0.061,0.141
-0.14,-0.073,0.139
-0.162,-0.061,0.096
-0.153,-0.061,0.043
-0.122,-0.069,0.062
-0.06,-0.079,0.078
-0.056,-0.062,0.083
-0.046,-0.068,0.081
-0.048,-0.087,0.114
-0.022,-0.089,0.09
-0.022,-0.089,0.09
-0.038,-0.073,0.116
-0.071,-0.082,0.1
-0.091,-0.089,0.037
-0.103,-0.057,-0.014
-0.122,-0.069,-0.014
-0.11,-0.102,-0.021
-0.109,-0.092,0.014
-0.097,-0.094,0.062
-0.075,-0.085,0.091
-0.068,-0.087,0.081
-0.039,-0.118,0.095
-0.037,-0.095,0.024
-0.051,-0.083,0.024
-0.056,-0.071,-0.014
-0.056,-0.061,-0.079
-0.056,-0.061,-0.079
-0.056,-0.085,-0.019
-0.054,-0.076,-0.017
-0.056,-0.038,-0.007
-0.033,-0.065,0.013
-0.059,-0.062,0
-0.014,-0.093,-0.01
-0.016,-0.078,0.044
0.002,-0.071,0.032
-0.019,-0.016,-0.005
-0.045,-0.03,-0.022
-0.026,-0.031,-0.044
-0.014,-0.019,-0.072
-0.043,0,-0.106
-0.046,-0.001,-0.058
-0.054,-0.034,0.027
-0.126,-0.085,0.104
-0.114,-0.112,0.168
-0.13,-0.095,0.214
-0.154,-0.108,0.219
-0.12,-0.12,0.185
-0.103,-0.118,0.173
-0.084,-0.082,0.185
-0.041,-0.08,0.125
0.003,-0.075,0.066
-0.068,-0.056,0.063
-0.06,-0.063,0.013
-0.094,-0.058,-0.008
-0.101,-0.1,-0.02
-0.127,-0.079,-0.048
-0.098,-0.09,-0.012
-0.095,-0.09,-0.002
-0.093,-0.111,0
-0.098,-0.104,0.009
-0.112,-0.13,0.066
-0.093,-0.136,0.122
-0.093,-0.136,0.122
-0.069,-0.113,0.131
-0.08,-0.113,0.098
-0.092,-0.095,0.026
-0.101,-0.102,0
-0.101,-0.102,0
-0.144,-0.083,-0.034
-0.139,-0.078,-0.049
-0.127,-0.102,-0.005
-0.122,-0.114,0.013
-0.141,-0.09,0.051
-0.108,-0.105,0.049
-0.132,-0.133,0.058
-0.127,-0.107,0.027
-0.149,-0.095,0.025
-0.118,-0.105,0.005
-0.135,-0.107,0.051
-0.14,-0.114,0.092
-0.148,-0.109,0.091
-0.143,-0.095,0.099
-0.136,-0.122,0.094
-0.136,-0.122,0.094
-0.179,-0.088,0.02
-0.141,-0.114,0.005
-0.132,-0.117,0.039
-0.099,-0.143,0.096
-0.092,-0.126,0.123
-0.096,-0.09,0.101
-0.139,-0.074,0.039
-0.154,-0.076,-0.006
-0.149,-0.038,-0.025
-0.166,-0.05,0.015
-0.114,-0.086,0.063
-0.093,-0.05,0.144
-0.112,-0.098,0.24
-0.111,-0.115,0.278
-0.118,-0.119,0.297
-0.121,-0.126,0.192
-0.128,-0.102,0.158
-0.106,-0.102,0.106
-0.118,-0.08,0.013
-0.178,-0.102,0.02
-0.168,-0.133,0.018
-0.187,-0.13,0.059
-0.199,-0.163,0.09
-0.199,-0.163,0.09
-0.272,-0.139,0.023
-0.277,-0.158,0.014
-0.277,-0.158,0.014
-0.242,-0.158,0
-0.242,-0.158,0
-0.228,-0.163,0.102
-0.18,-0.171,0.114
-0.199,-0.169,0.111
-0.182,-0.162,0.044
-0.182,-0.162,0.044
-0.203,-0.146,0.041
-0.234,-0.134,0.036
-0.234,-0.134,0.036
-0.208,-0.121,0.105
-0.208,-0.121,0.105
-0.244,-0.109,0.088
-0.244,-0.109,0.088
-0.157,-0.159,0.158
-0.17,-0.058,0.083
-0.17,-0.058,0.083
-0.134,-0.046,0.04
-0.123,-0.018,0.021
-0.123,-0.018,0.021
-0.08,0.022,0.049
-0.08,0.022,0.049
-0.128,0,0.104
-0.138,0.023,0.123
-0.138,0.023,0.123
-0.136,-0.021,0.093
-0.136,-0.021,0.093
-0.19,0.004,0.019
-0.19,0.004,0.019
-0.139,-0.1,0.093
-0.156,-0.119,0.169
-0.156,-0.119,0.169
-0.217,-0.107,0.15
-0.272,-0.097,0.042
-0.322,-0.066,-0.014
-0.286,-0.083,-0.107
-0.286,-0.083,-0.107
-0.172,-0.087,-0.045
-0.147,-0.126,0.045
-0.188,-0.171,0.17
-0.206,-0.173,0.225
-0.206,-0.173,0.225
-0.285,-0.178,0.163
-0.285,-0.178,0.163
-0.196,-0.08,-0.094
-0.174,-0.039,-0.211
-0.174,-0.039,-0.211
-0.107,-0.004,-0.337
-0.081,-0.02,-0.237
-0.093,-0.013,-0.148
-0.09,-0.044,-0.052
-0.09,-0.044,-0.052
-0.146,-0.054,0.038
-0.131,-0.032,0.017
-0.11,-0.047,0.024
-0.057,-0.049,0.024
-0.057,-0.049,0.024
-0.067,-0.047,0.061
-0.05,-0.034,0.113
-0.076,-0.024,0.114
-0.085,-0.02,0.13
-0.085,-0.02,0.13
-0.102,-0.012,-0.005
-0.124,0.037,-0.031
-0.138,0.016,-0.043
-0.136,0.023,-0.035
-0.136,0.023,-0.035
-0.141,0,0.023
-0.135,-0.013,0.066
-0.116,-0.011,0.148
-0.106,-0.023,0.145
-0.106,-0.023,0.145
-0.092,-0.036,0.073
-0.104,-0.041,0.03
-0.071,-0.024,-0.044
-0.1,-0.012,-0.08
-0.1,-0.012,-0.08
-0.1,-0.01,-0.064
-0.104,0.017,-0.028
-0.099,-0.006,-0.05
-0.073,-0.009,-0.026
-0.114,0.002,-0.047
-0.073,0.014,-0.081
-0.034,-0.025,-0.077
0.036,-0.086,0.004
0.032,-0.117,0.054
-0.034,-0.083,0.056
-0.093,-0.035,0.063
-0.093,-0.035,0.063
-0.082,-0.005,-0.07
-0.039,-0.01,-0.099
-0.039,-0.01,-0.099
-0.006,0.003,-0.011
0,-0.063,-0.013
-0.008,-0.066,0.048
-0.032,-0.07,0.093
-0.051,-0.054,0.115
-0.01,-0.061,0.074
0.011,-0.008,0.036
0.028,-0.007,0.036
-0.01,-0.01,0.026
-0.01,-0.01,0.026
-0.041,-0.014,-0.016
-0.072,-0.004,-0.047
-0.058,-0.073,-0.051
-0.112,-0.032,-0.008
-0.15,-0.032,0.013
-0.16,-0.055,0.049
-0.15,-0.048,0.078
-0.112,-0.062,0.032
-0.084,-0.036,0.016
-0.084,-0.067,0.026
-0.038,-0.032,0.053
-0.014,-0.045,0.1
-0.014,-0.038,0.09
-0.047,-0.044,0.097
-0.037,-0.02,0.084
-0.051,-0.039,0.095
-0.042,-0.043,0.101
-0.054,-0.019,0.033
-0.023,-0.021,0.046
-0.014,-0.008,0.038
-0.017,0.025,0.049
0.023,-0.014,0.079
0.016,0.031,0.004
0.013,0.028,0.013
0.003,0.031,0.006
0.024,-0.023,0.038
0.045,-0.011,0.043
0.034,0.019,0.012
0.053,0,-0.033
0.017,0.009,-0.08
-0.008,-0.002,-0.093
-0.059,-0.063,-0.09
-0.059,-0.063,-0.09
-0.109,-0.056,-0.069
-0.031,-0.08,-0.043
-0.031,-0.08,-0.043
-0.045,-0.117,0.049
-0.045,-0.117,0.049
-0.135,-0.138,0.041
-0.195,-0.06,-0.044
-0.195,-0.06,-0.044
-0.112,-0.058,-0.095
-0.071,-0.041,-0.097
-0.018,-0.021,-0.08
-0.018,-0.021,-0.08
-0.051,-0.069,0.029
-0.159,-0.07,0.138
-0.166,-0.105,0.178
-0.139,-0.134,0.156
-0.101,-0.105,0.164
-0.096,-0.071,0.166
-0.023,-0.076,0.123
-0.024,-0.068,0.083
-0.001,-0.013,0.025
-0.023,-0.008,-0.004
-0.056,-0.039,-0.057
-0.061,-0.015,-0.126
-0.095,0.004,-0.114
-0.074,-0.033,-0.148
-0.105,-0.036,-0.104
-0.081,-0.062,-0.033
-0.112,-0.088,0.012
-0.1,-0.091,0.043
-0.067,-0.122,0.103
-0.107,-0.132,0.131
-0.095,-0.132,0.167
-0.109,-0.132,0.23
-0.1,-0.129,0.16
-0.107,-0.1,0.134
-0.112,-0.088,0.043
-0.076,-0.074,-0.035
-0.085,-0.031,-0.104
-0.092,-0.05,-0.069
-0.085,-0.069,-0.031
-0.056,-0.076,0.023
-0.083,-0.067,0.033
-0.061,-0.088,0.049
-0.061,-0.088,0.049
-0.059,-0.115,0.023
-0.074,-0.069,-0.017
-0.074,-0.069,-0.017
-0.081,-0.096,-0.012
-0.094,-0.079,0.044
-0.094,-0.079,0.044
-0.079,-0.057,-0.01
-0.079,-0.057,-0.01
-0.06,-0.093,-0.173
-0.047,-0.103,-0.216
-0.047,-0.103,-0.216
-0.008,-0.124,-0.043
-0.008,-0.124,-0.043
-0.118,-0.113,0.124
-0.194,-0.118,0.098
-0.194,-0.094,-0.054
-0.175,-0.104,-0.16
-0.175,-0.104,-0.16
-0.137,-0.061,-0.246
-0.137,-0.061,-0.246
-0.133,-0.08,-0.155
-0.143,-0.14,0.138
-0.143,-0.14,0.138
-0.174,-0.154,0.227
-0.174,-0.154,0.227
-0.165,-0.164,0.22
-0.102,-0.097,0.186
-0.059,-0.039,0.114
0.02,-0.054,-0.026
0.011,-0.03,-0.038
0.011,-0.03,-0.038
-0.055,-0.049,-0.026
-0.055,-0.049,-0.026
-0.096,-0.028,-0.058
-0.127,-0.04,-0.065
-0.1,-0.059,-0.108
-0.074,-0.077,-0.116
-0.074,-0.077,-0.116
0.001,-0.055,-0.066
-0.025,-0.091,-0.042
-0.042,-0.132,-0.001
-0.112,-0.127,-0.001
-0.112,-0.127,-0.001
-0.1,-0.118,-0.018
-0.049,-0.135,-0.045
-0.077,-0.14,-0.044
-0.106,-0.142,-0.044
-0.151,-0.141,-0.049
-0.167,-0.162,-0.02
-0.208,-0.141,-0.013
-0.224,-0.121,-0.015
-0.179,-0.14,-0.003
-0.179,-0.14,-0.003
-0.15,-0.143,0.042
-0.128,-0.133,0.04
-0.109,-0.128,0.042
-0.083,-0.119,0
-0.083,-0.119,0
-0.121,-0.102,-0.064
-0.099,-0.115,-0.024
-0.169,-0.069,-0.007
-0.15,-0.067,0.014
-0.15,-0.067,0.014
-0.081,-0.089,0.007
-0.064,-0.115,0.031
-0.042,-0.11,0.038
-0.085,-0.11,0.019
-0.085,-0.11,0.019
-0.172,-0.057,0.003
-0.181,-0.097,-0.032
-0.152,-0.057,-0.044
-0.136,-0.066,0.027
-0.136,-0.066,0.027
-0.09,-0.15,0.159
-0.146,-0.121,0.166
-0.179,-0.147,0.153
-0.217,-0.145,0.196
-0.205,-0.172,0.151
-0.186,-0.136,0.17
-0.167,-0.127,0.126
-0.122,-0.146,0.148
-0.114,-0.132,0.128
-0.114,-0.132,0.128
-0.102,-0.132,0.063
-0.107,-0.139,0.001
-0.129,-0.132,-0.022
-0.148,-0.113,-0.022
-0.124,-0.063,-0.063
-0.065,-0.079,-0.094
-0.012,-0.082,-0.072
-0.033,-0.081,-0.039
-0.019,-0.079,-0.065
-0.019,-0.079,-0.065
-0.041,-0.117,-0.055
-0.043,-0.11,-0.036
-0.029,-0.091,-0.005
-0.014,-0.127,0.035
-0.033,-0.139,0.083
-0.069,-0.153,0.095
-0.104,-0.131,0.112
-0.114,-0.141,0.083
-0.092,-0.175,0.04
-0.082,-0.146,0.045
-0.041,-0.141,0.006
0.003,-0.133,-0.031
0.005,-0.112,-0.057
-0.017,-0.085,-0.011
-0.058,-0.121,-0.025
-0.075,-0.108,-0.018
-0.046,-0.106,-0.001
-0.046,-0.106,-0.001
0.005,-0.086,-0.054
0.005,-0.086,-0.056
0.002,-0.036,-0.128
-0.043,-0.021,-0.128
-0.036,-0.047,-0.133
0.015,-0.092,-0.087
0.039,-0.094,-0.037
0.073,-0.094,-0.035
0.02,-0.043,-0.052
0.02,-0.043,-0.052
-0.015,-0.043,-0.178
-0.01,-0.024,-0.171
0.015,-0.027,-0.131
0.03,-0.039,-0.026
0.03,-0.039,-0.026
0.047,-0.121,0.224
-0.004,-0.116,0.27
-0.074,-0.133,0.238
-0.098,-0.124,0.181
-0.069,-0.101,0.075
-0.014,-0.036,-0.027
0,-0.041,-0.07
0.035,-0.013,-0.135
0.039,-0.009,-0.097
-0.022,-0.04,-0.08
-0.027,-0.062,-0.075
-0.027,-0.062,-0.075
-0.113,-0.048,-0.059
-0.049,-0.051,-0.006
-0.054,-0.072,-0.021
0.021,-0.066,0.029
0.012,-0.092,0.045
0.012,-0.092,0.045
0.01,-0.001,0.03
-0.006,-0.023,-0.005
-0.049,0.012,0.02
-0.053,0.024,0.005
-0.053,0.024,0.005
0.005,0.022,-0.068
0.005,0.022,-0.068
0.005,0.026,-0.128
-0.031,-0.002,-0.138
-0.04,0.006,-0.122
-0.065,-0.047,-0.064
-0.073,-0.04,-0.038
-0.06,-0.058,0.037
-0.028,-0.064,0.041
-0.019,-0.057,0.034
0.012,-0.056,0.028
0.012,-0.056,0.028
0.013,-0.039,-0.018
-0.004,-0.056,-0.005
0.014,0.015,0.034
-0.035,0.027,0.022
-0.035,0.027,0.022
-0.015,0.078,-0.059
0.067,0.03,-0.075
0.134,0.008,-0.047
0.123,0.008,-0.008
0.051,0.049,-0.001
-0.02,0.045,0
-0.039,0.067,-0.032
-0.022,0.076,-0.085
0.075,0.083,-0.117
0.114,0.119,-0.137
0.133,0.09,-0.064
0.113,0.08,-0.009
0.059,0.08,0.063
-0.009,0.02,0.096
-0.017,0.028,0.131
