accx,accy,accz
-2.507,-2.08,-8.874
-2.473,-2.006,-8.688
-2.425,-1.894,-8.429
-2.362,-1.793,-8.109
-2.281,-1.68,-7.741
-2.199,-1.518,-7.272
-2.089,-1.432,-6.746
-1.897,-1.265,-6.202
-1.717,-1.138,-5.609
-1.53,-0.988,-4.948
-1.354,-0.842,-4.102
-1.198,-0.707,-3.18
-0.97,-0.647,-2.295
-0.737,-0.604,-1.321
-0.413,-0.597,-0.472
-0.233,-0.454,0.28
-0.13,-0.231,0.826
0.015,0.126,1.418
0.098,0.499,2.067
0.338,0.874,2.859
0.662,1.199,3.865
1.168,1.42,5.423
1.168,1.42,5.423
1.825,1.545,7.137
1.89,1.917,7.728
1.89,1.917,7.728
2.309,1.842,8.487
2.309,1.842,8.487
3.531,0.6,8.884
3.936,0.119,8.977
3.936,0.119,8.977
3.268,-0.081,8.56
3.268,-0.081,8.56
1.471,0.316,7.077
0.943,0.397,5.701
0.943,0.397,5.701
0.554,0.526,2.306
0.554,0.526,2.306
0.281,0.886,-1.207
0.296,0.849,-2.893
0.314,0.728,-4.347
0.226,0.628,-5.473
-0.068,0.554,-6.368
-0.42,0.441,-6.97
-0.42,0.441,-6.97
-0.697,0.223,-7.397
-1.083,-0.196,-7.837
-1.289,-0.342,-7.887
-1.45,-0.474,-7.902
-1.45,-0.474,-7.902
-1.607,-0.549,-7.858
-1.844,-0.715,-7.91
-1.912,-0.752,-7.878
-1.91,-0.837,-7.904
-1.852,-0.878,-7.8
-1.842,-0.948,-7.835
-1.757,-1.012,-7.84
-1.731,-1.032,-7.565
-1.832,-1.02,-7.198
-1.954,-0.953,-6.875
-2.05,-0.833,-6.539
-2.067,-0.791,-6.091
-2.069,-0.754,-5.537
-2.05,-0.642,-4.918
-1.933,-0.505,-4.242
-1.709,-0.377,-3.519
-1.291,-0.273,-2.701
-0.844,-0.089,-1.844
-0.505,0.167,-0.845
-0.255,0.378,0.204
-0.094,0.567,1.257
0.026,0.75,2.309
0.079,0.972,3.226
0.124,1.214,4.009
0.161,1.475,4.679
0.212,1.675,5.2
0.333,1.888,5.594
0.584,2.037,5.823
0.91,2.167,5.926
1.217,2.228,6.086
1.471,2.147,6.316
1.57,1.987,6.515
1.432,1.845,6.658
1.351,1.56,6.735
1.216,1.261,6.696
1.014,0.956,6.438
0.81,0.723,6.137
0.636,0.506,5.681
0.54,0.223,5.112
0.489,-0.011,4.46
0.386,-0.186,3.666
0.266,-0.324,2.762
0.266,-0.324,2.762
0.018,-0.533,0.569
-0.097,-0.618,-0.685
-0.215,-0.768,-1.946
-0.378,-0.876,-3.155
-0.633,-0.875,-4.304
-0.821,-0.928,-5.36
-0.914,-0.973,-6.293
-1.001,-1.098,-7.135
-1.067,-1.254,-7.743
-1.209,-1.376,-8.232
-1.318,-1.444,-8.612
-1.459,-1.504,-8.913
-1.507,-1.601,-9.125
-1.598,-1.715,-9.261
-1.665,-1.763,-9.326
-1.801,-1.747,-9.334
-1.983,-1.674,-9.361
-2.092,-1.584,-9.359
-2.148,-1.566,-9.208
-2.136,-1.661,-8.966
-2.273,-1.895,-8.568
-2.447,-1.797,-8.143
-2.332,-1.259,-7.526
-2.161,-1.118,-6.787
-2.068,-1.182,-6.109
-2.005,-1.003,-5.521
-1.964,-0.771,-5.048
-1.971,-0.809,-4.522
-1.985,-0.887,-4.082
-2.136,-0.829,-3.67
-2.16,-0.678,-3.073
-2.157,-0.658,-2.241
-2.283,-0.349,-1.369
-2.268,0.099,-0.603
-2.136,0.282,0.399
-1.764,0.224,1.452
-1.195,0.183,2.393
-0.781,0.239,3.405
-0.523,0.41,4.384
-0.334,0.627,5.414
0.164,0.553,6.679
1.106,-0.163,7.819
1.958,-0.842,8.766
2.583,-1.353,9.82
2.583,-1.353,9.82
3.245,-1.965,10.881
