accx,accy,accz
0.144,-0.063,0.148
0.101,-0.071,0.136
0.064,-0.049,0.141
0.047,-0.066,0.09
0.047,-0.09,0.002
0.03,-0.059,-0.033
0.056,-0.067,-0.076
0.056,-0.067,-0.076
0.056,-0.106,-0.047
0.065,-0.11,-0.016
0.034,-0.113,0.012
0.001,-0.139,0.096
-0.013,-0.137,0.125
-0.015,-0.142,0.089
0.001,-0.137,0.024
0.017,-0.108,-0.01
0.06,-0.113,-0.054
0.029,-0.127,-0.034
0.012,-0.106,-0.01
0.013,-0.106,0.041
-0.008,-0.103,0.084
0.01,-0.122,0.153
-0.024,-0.127,0.177
0.004,-0.079,0.067
0.012,-0.087,0.045
0.074,-0.085,-0.021
0.138,-0.056,-0.055
0.148,-0.056,-0.048
0.122,0.01,-0.029
0.107,-0.006,-0.062
0.122,-0.008,-0.01
0.119,-0.03,0.085
0.148,-0.033,0.095
0.107,-0.035,0.114
0.079,-0.019,0.03
0.064,-0.021,-0.062
0.122,-0.021,-0.077
0.122,-0.021,-0.077
0.167,-0.075,-0.079
0.164,-0.075,-0.068
0.082,-0.096,0.044
0.042,-0.105,0.089
-0.007,-0.119,0.123
-0.005,-0.136,0.132
-0.036,-0.114,0.077
-0.034,-0.097,0.034
-0.01,-0.099,-0.025
0.004,-0.092,-0.024
-0.01,-0.102,-0.017
-0.003,-0.095,0.049
-0.003,-0.095,0.049
0.018,-0.091,0.121
0.025,-0.05,0.006
0.025,-0.05,0.006
0.053,-0.033,-0.179
0.085,-0.028,-0.22
0.099,-0.031,-0.155
0.111,-0.041,-0.037
0.111,-0.041,-0.037
0.164,-0.019,0.036
0.168,-0.002,0.014
0.142,-0.031,0.014
0.14,-0.019,-0.018
0.14,-0.019,-0.018
0.125,-0.018,-0.002
0.125,-0.03,0.067
0.125,-0.03,0.067
0.121,-0.03,0.081
0.121,-0.03,0.081
0.097,-0.054,0.093
0.064,-0.038,0.052
0.064,-0.038,0.052
0.031,-0.069,0.037
0.031,-0.069,0.037
0.052,-0.074,0.016
0.031,-0.113,-0.024
0.031,-0.113,-0.024
0.036,-0.108,-0.012
0.036,-0.108,-0.012
-0.018,-0.118,-0.031
0.048,-0.11,0.044
0.048,-0.11,0.044
0.041,-0.113,0.03
0.043,-0.086,-0.029
0.033,-0.065,-0.036
0.033,-0.065,-0.036
0.021,-0.06,-0.003
0.055,-0.059,0.078
0.059,-0.042,0.076
0.079,-0.059,0.035
0.122,-0.028,0.045
0.122,-0.028,0.045
0.117,-0.014,0.141
0.09,0.014,0.124
0.04,0,0.122
0.04,0.016,0.067
0.074,-0.026,0.014
0.121,-0.023,-0.061
0.15,-0.028,-0.081
0.195,-0.052,-0.081
0.166,-0.059,-0.025
0.151,-0.063,-0.011
0.12,-0.044,0.048
0.074,-0.079,0.024
0.023,-0.101,0.007
-0.019,-0.086,-0.061
-0.016,-0.081,-0.092
0.045,-0.067,-0.092
0.069,-0.076,-0.023
0.081,-0.11,0.041
0.059,-0.088,0.161
0.007,-0.11,0.156
-0.069,-0.1,0.178
-0.071,-0.071,0.154
-0.097,-0.089,0.051
-0.049,-0.074,-0.039
0.027,-0.058,-0.116
0.095,-0.056,-0.13
0.14,-0.035,-0.092
0.152,-0.035,-0.04
0.152,-0.035,-0.04
0.09,-0.023,0.002
0.145,-0.033,-0.06
0.129,-0.021,-0.038
0.081,-0.009,-0.079
0.131,-0.029,-0.062
0.148,-0.017,-0.014
0.143,-0.02,0.028
0.167,-0.027,0.057
0.126,-0.01,0.078
0.088,-0.01,0.04
0.069,-0.053,0.061
0.077,-0.051,0.009
0.072,-0.044,0
0.089,-0.07,0.001
0.022,-0.085,0.02
0.051,-0.07,0.027
0.02,-0.106,0.044
0.044,-0.097,0.029
0.042,-0.085,-0.025
0.07,-0.094,-0.03
0.046,-0.116,-0.027
0.075,-0.109,-0.015
0.039,-0.094,0.013
0.022,-0.073,0.025
0.034,-0.07,0.039
0.025,-0.08,0.056
0.049,-0.104,0.046
0.066,-0.082,0.07
0.016,-0.078,0.061
0.004,-0.073,0.032
0.057,-0.061,0.003
0.04,-0.071,0.006
0.081,-0.033,-0.053
0.098,-0.024,-0.024
0.117,-0.009,0.027
0.119,-0.014,0.116
0.117,-0.026,0.15
0.083,-0.033,0.114
0.091,-0.035,0.035
0.076,-0.011,-0.11
0.114,0,-0.132
0.171,-0.038,-0.089
0.192,-0.081,-0.027
0.173,-0.059,0.044
0.118,-0.083,0.066
0.06,-0.085,0.009
0.012,-0.058,-0.021
0.012,-0.074,-0.09
0.034,-0.103,-0.083
0.036,-0.089,-0.033
0.043,-0.101,0.031
0.053,-0.077,0.103
0.022,-0.113,0.148
0.022,-0.096,0.189
-0.023,-0.1,0.112
-0.013,-0.105,0.103
-0.028,-0.091,-0.014
-0.037,-0.079,-0.059
-0.033,-0.086,-0.076
0.05,-0.055,-0.071
0.076,-0.048,-0.08
0.131,-0.06,-0.075
0.143,-0.021,-0.037
0.174,-0.03,-0.042
